Sequence,Label
104 246 186 322 326 130 318 1880 3634 1041 101 184 726 ,0

109 106 107 60 157 112 158 1056 1409 1416 1427 1432 8182 1432 7250 18471 1432 12292 1416 1416 6060 6257 1416 3076 3078 4653 4654 6333 6334 1416 1427 1432 8182 1432 1416 ,0

246 ,0

912 913 169 167 170 ,0

157 106 109 60 107 112 158 ,0

106 109 107 60 112 157 158 ,0

439 485 454 496 570 92 ,0

61 73 74 72 125 73 145 143 156 160 466 476 73 145 143 156 160 ,0

106 109 112 107 157 158 60 ,0

109 106 701 107 112 158 60 34 39 134 137 139 147 79 148 175 79 197 79 203 79 366 79 79 385 79 79 385 385 809 1851 1851 ,0

1486 1490 11407 11408 11410 11409 11411 11412 11413 11414 ,0

5927 ,0

438 439 454 456 1665 485 493 496 1696 498 522 508 517 514 511 526 1021 1018 1019 1020 1033 1036 ,0

1392 1402 1394 ,0

1502 216 1502 216 ,0

274 290 464 ,0

106 109 127 60 1177 1176 2052 2054 2055 2058 965 1902 2056 2057 ,0

115 311 115 115 115 115 311 ,0

1244 1245 1245 ,0

1752 170 1753 ,0

2910 2913 1583 1584 1593 7287 4330 9745 4327 ,0

155 154 173 28 131 161 102 22 177 176 183 240 188 190 191 194 204 213 207 224 237 256 5 220 9 33 285 288 309 314 324 328 337 360 364 383 333 388 386 398 400 401 402 404 405 407 409 406 415 416 420 ,0

661 262 110 119 114 116 262 371 375 382 381 384 ,0

109 106 368 107 112 60 158 842 3750 3757 842 849 2793 1569 1712 3761 796 1231 1235 1238 3783 2064 ,0

1378 279 140 141 142 146 146 115 ,0

154 155 15959 173 28 102 15960 22 131 161 240 176 188 183 177 190 191 194 204 213 207 224 220 237 256 5 9 15961 15962 415 15963 406 420 15980 33 15981 285 288 309 314 324 328 333 337 360 364 383 386 388 398 400 401 402 15983 15984 404 405 407 409 416 ,0

1995 825 1707 1709 1706 1705 140 141 142 146 606 626 624 649 1882 642 1886 2497 1889 573 280 ,0

775 777 778 ,0

497 106 109 107 112 158 60 11 20 18 17 24 12 19 13 14 15 16 21 23 25 234 270 272 31 32 603 3817 2220 2226 2222 2223 658 2776 2777 2778 2781 2782 2783 2786 2787 ,0

2194 ,0

104 246 130 318 2198 2199 2201 2205 2210 4954 130 ,0

